imageID,NatPark,Wildlife
1,Y,0
2,Y,0
3,N,1
4,Y,0
5,Y,0
6,Y,0
7,Y,0
8,N,0
9,Y,0
10,Y,0
11,N,0
12,Y,0
13,Y,1
14,N,0
15,N,0
16,N,0
17,N,0
18,N,1
19,N,0
20,Y,0
21,N,0
22,Y,0
23,N,0
24,Y,0
25,Y,0
26,Y,0
27,Y,0
28,N,1
29,N,0
30,Y,1
31,Y,0
32,Y,0
33,Y,0
34,Y,0
35,Y,0
36,N,0
37,Y,0
38,N,0
39,N,0
40,N,0
41,N,0
42,Y,0
43,N,0
44,Y,1
45,Y,0
46,N,1
47,N,0
48,Y,0
49,Y,0
50,N,0
51,Y,0
52,N,0
53,Y,0
54,Y,0
55,N,0
56,Y,0
57,N,0
58,N,0
59,N,0
60,Y,0
61,N,0
62,N,0
63,Y,0
64,Y,0
65,N,0
66,Y,0
67,N,0
68,N,0
69,Y,0
70,Y,0
71,Y,0
72,Y,0
73,N,0
74,N,0
75,Y,0
76,Y,1
77,N,0
78,N,1
79,Y,0
80,Y,1
81,N,0
82,Y,0
83,N,0
84,N,0
85,Y,0
86,Y,0
87,Y,0
88,Y,0
89,N,0
90,N,0
91,N,0
92,N,0
93,Y,0
94,N,0
95,N,1
96,Y,0
97,Y,0
98,N,1
99,Y,0
100,Y,0
101,Y,0
102,Y,0
103,N,0
104,N,0
105,Y,0
106,Y,0
107,N,0
108,N,0
109,Y,0
110,N,0
111,Y,0
112,Y,0
113,N,0
114,Y,0
115,N,0
116,Y,0
117,N,0
118,Y,0
119,Y,0
120,Y,0
121,N,0
122,Y,0
123,N,0
124,N,0
125,N,0
126,N,0
127,N,0
128,Y,0
129,Y,0
130,Y,0
131,Y,0
132,Y,1
133,N,0
134,N,0
135,N,0
136,N,0
137,Y,0
138,N,0
139,N,0
140,Y,0
141,N,0
142,Y,1
143,Y,0
144,N,1
145,N,1
146,Y,0
147,N,0
148,N,0
149,Y,0
150,N,0
151,Y,0
152,Y,0
153,N,0
154,Y,0
155,Y,0
156,Y,0
157,N,0
158,Y,0
159,N,0
160,N,0
161,N,0
162,Y,0
163,N,0
164,Y,0
165,N,1
166,N,0
167,N,0
168,Y,0
169,Y,0
170,N,0
171,N,0
172,Y,0
173,N,0
174,Y,0
175,Y,0
176,N,0
177,Y,0
178,N,0
179,Y,0
180,N,0
181,Y,0
182,N,0
183,Y,0
184,Y,0
185,Y,0
186,N,0
187,Y,0
188,Y,0
189,N,0
190,Y,1
191,N,0
192,Y,0
193,N,0
194,N,0
195,Y,0
196,Y,0
197,N,0
198,N,0
199,Y,1
200,Y,0
201,N,0
202,Y,0
203,Y,0
204,Y,1
205,N,0
206,Y,0
207,N,0
208,Y,0
209,Y,0
210,N,1
211,Y,1
212,N,0
213,N,0
214,N,1
215,N,0
216,N,1
217,Y,0
218,Y,0
219,N,0
220,Y,0
221,N,0
222,Y,0
223,N,0
224,N,0
225,N,0
226,N,0
227,N,0
228,N,0
229,N,0
230,Y,0
231,Y,0
232,Y,0
233,N,0
234,N,0
235,Y,0
236,Y,0
237,Y,1
238,N,0
239,Y,0
240,Y,0
241,Y,0
242,Y,0
243,Y,0
244,Y,1
245,Y,0
246,N,0
247,N,0
248,N,0
249,N,0
250,Y,0
251,Y,0
252,N,0
253,N,0
254,N,0
255,N,0
256,Y,0
257,Y,1
258,Y,0
259,Y,0
260,N,0
261,Y,0
262,Y,0
263,N,0
264,N,0
265,Y,0
266,Y,0
267,Y,0
268,N,1
269,Y,0
270,Y,0
271,Y,0
272,N,0
273,Y,0
274,N,0
275,N,0
276,N,0
277,Y,0
278,N,1
279,N,0
280,N,0
281,Y,0
282,N,0
283,Y,0
284,N,0
285,Y,0
286,N,0
287,N,0
288,Y,0
289,Y,0
290,N,0
291,N,0
292,N,0
293,N,1
294,N,0
295,N,0
296,Y,0
297,N,0
298,Y,0
299,Y,0
300,N,0
301,Y,0
302,Y,0
303,N,1
304,N,0
305,Y,0
306,N,0
307,Y,0
308,Y,0
309,N,0
310,N,0
311,Y,0
312,Y,0
313,Y,0
314,N,0
315,Y,0
316,N,0
317,N,1
318,Y,0
319,N,0
320,Y,0
321,Y,0
322,Y,0
323,Y,0
324,Y,0
325,Y,0
326,Y,0
327,N,0
328,Y,0
329,N,0
330,N,0
331,Y,0
332,N,0
333,Y,0
334,N,0
335,Y,0
336,Y,0
337,N,0
338,N,0
339,Y,0
340,Y,0
341,N,0
342,Y,0
343,Y,0
344,Y,0
345,N,0
346,Y,0
347,Y,0
348,N,0
349,Y,0
350,Y,1
351,Y,0
352,Y,1
353,N,0
354,N,0
355,Y,0
356,N,0
357,N,0
358,N,0
359,Y,0
360,Y,0
361,Y,0
362,N,0
363,N,0
364,Y,0
365,Y,0
366,N,0
367,N,0
368,Y,0
369,N,0
370,N,0
371,Y,0
372,Y,0
373,N,0
374,N,0
375,Y,0
376,N,0
377,N,0
378,N,0
379,Y,0
380,N,0
381,Y,1
382,N,0
383,N,0
384,N,0
385,Y,0
386,Y,0
387,N,0
388,Y,0
389,Y,0
390,N,0
391,N,0
392,N,0
393,Y,1
394,N,0
395,Y,1
396,N,0
397,N,1
398,N,0
399,Y,0
400,N,0
401,N,0
402,N,0
403,N,0
404,Y,0
405,N,1
406,Y,1
407,Y,0
408,Y,0
409,N,0
410,Y,0
411,N,0
412,Y,1
413,N,0
414,N,0
415,Y,0
416,N,0
417,Y,0
418,Y,0
419,N,0
420,N,0
421,N,0
