imageID,NatPark,Wildlife
422,Y,0
423,Y,0
424,Y,0
425,N,0
426,Y,0
427,N,0
428,N,0
429,N,0
430,Y,0
431,Y,0
432,Y,0
433,Y,0
434,N,0
435,N,0
436,N,0
437,Y,0
438,Y,1
439,N,0
440,Y,0
441,Y,1
442,Y,1
443,Y,0
444,Y,1
445,Y,0
446,Y,0
447,Y,0
448,Y,0
449,Y,1
450,N,0
451,N,0
452,N,0
453,N,0
454,N,0
455,N,1
456,Y,0
457,N,0
458,N,0
459,Y,0
460,N,0
461,N,0
462,Y,0
463,Y,0
464,N,0
465,N,0
466,N,0
467,Y,1
468,N,0
469,Y,0
470,N,0
471,Y,0
472,N,0
473,N,0
474,N,0
475,Y,0
476,N,0
477,N,0
478,N,0
479,Y,0
480,Y,0
481,Y,0
482,Y,0
483,N,0
484,Y,0
485,Y,0
486,N,0
487,Y,0
488,N,0
489,N,0
490,N,0
491,Y,0
492,Y,0
493,Y,1
494,N,0
495,Y,0
496,Y,0
497,Y,0
498,Y,0
499,N,0
500,Y,0
501,N,0
502,Y,0
503,Y,1
504,N,0
505,Y,0
506,N,0
507,Y,0
508,N,0
509,Y,0
510,Y,0
511,Y,0
512,Y,0
513,N,0
514,Y,0
