Species,bill_length,wing_length,tarsus_length
Surf Scoter,37,25,56
White-winged Scoter,45,28,54
Surf Scoter,38,13,38
White-winged Scoter,40,25,54
White-winged Scoter,36,26,58
White-winged Scoter,40,26,46
Surf Scoter,39,24,45
White-winged Scoter,40,24,50
White-winged Scoter,42,21,52
White-winged Scoter,36,27,54
Surf Scoter,40,23,42
White-winged Scoter,43,27,50
Surf Scoter,38,22.3,40
White-winged Scoter,35,25,50
Surf Scoter,40,17,44
Surf Scoter,38,23,40
Surf Scoter,42,24,49
Surf Scoter,41,23.1,42
Surf Scoter,38.8,22.5,48
White-winged Scoter,44,27,51
Surf Scoter,40,22,50
Surf Scoter,39,22,48
Surf Scoter,39,24,47
Surf Scoter,38,21,41
Surf Scoter,42,23.5,44
Surf Scoter,35,22,52
Surf Scoter,40,22,45
Surf Scoter,44,23,45
Surf Scoter,42,24,55
Surf Scoter,40,25.5,42
Surf Scoter,38,22.5,48
Surf Scoter,39,25,48
Surf Scoter,42,23,54
Surf Scoter,40,24,45
Surf Scoter,37,25,50
Surf Scoter,40,19,53
Surf Scoter,40,25,43
Surf Scoter,40,25.5,55
Surf Scoter,35,22,55
White-winged Scoter,42,27,55
White-winged Scoter,37,27.5,52
White-winged Scoter,40,26,50
Surf Scoter,40,23,51
White-winged Scoter,42,28,51
Surf Scoter,40,24.7,45
White-winged Scoter,41,27,54
Surf Scoter,44,22.5,48
Surf Scoter,44,23.5,42
Surf Scoter,38,31,53
Surf Scoter,40,23.3,53
Surf Scoter,41,24,42
Surf Scoter,42,23.5,43
White-winged Scoter,42,27.5,54
Surf Scoter,42,23,48
Surf Scoter,37,21,41
Surf Scoter,44,24,45
White-winged Scoter,41,27,45
Surf Scoter,40,23,45
White-winged Scoter,43,29,52
Surf Scoter,45,27,53
Surf Scoter,35,19,48
Surf Scoter,37.5,16,35
Surf Scoter,35,23.5,44
White-winged Scoter,45,25,50
Surf Scoter,40,22,54
Surf Scoter,39,15,41
Surf Scoter,36,24,46
White-winged Scoter,39,28,46
White-winged Scoter,41,27,52
White-winged Scoter,40,15,46
White-winged Scoter,34,26,45
White-winged Scoter,40,29,56
White-winged Scoter,38,15,47
White-winged Scoter,38,28,49
Surf Scoter,40,25,44
Surf Scoter,38,22,42
White-winged Scoter,50,23,43
Surf Scoter,42,21,48
Surf Scoter,37,35,45
Surf Scoter,40,22,50
White-winged Scoter,43,27.5,51
White-winged Scoter,39.9,25.9,53
White-winged Scoter,41,27.5,51
White-winged Scoter,43,27,52
White-winged Scoter,43,27,48
White-winged Scoter,44,27,49
White-winged Scoter,34,26,48
White-winged Scoter,46,27.7,49
White-winged Scoter,44,18,53
White-winged Scoter,41,26.5,50
White-winged Scoter,43,26,50
White-winged Scoter,37,27,59
White-winged Scoter,39,17,48
Surf Scoter,41,23,41
Surf Scoter,35,15,41
White-winged Scoter,45,28,52
Surf Scoter,42,23.7,40
Surf Scoter,38,24,57
White-winged Scoter,42,29,63
White-winged Scoter,48,26,50
White-winged Scoter,39,23.8,49
Surf Scoter,40,29,51
Surf Scoter,39,23.5,48
Surf Scoter,32,24,46
Surf Scoter,35,24,53
White-winged Scoter,43,26,49
White-winged Scoter,41,26,49
White-winged Scoter,41,29,54
White-winged Scoter,47,28,55
Surf Scoter,38,23,43
Surf Scoter,40,23,47
White-winged Scoter,37,18.5,49
White-winged Scoter,41,22,45
White-winged Scoter,43,28.5,50
Surf Scoter,41,25,45
White-winged Scoter,43,26,55
White-winged Scoter,44,27.5,54
White-winged Scoter,44,27,50
White-winged Scoter,41,26.5,50
White-winged Scoter,44,27.5,55
White-winged Scoter,43,27,44
White-winged Scoter,43,30,53
White-winged Scoter,42,29,49
Surf Scoter,47,23.6,45
